game_id,season,week,gameday,home_team,away_team,spread_line,total_line,home_moneyline,away_moneyline,home_score,away_score,result,total
2024_01_BAL_KC,2024,1,2024-09-05,KC,BAL,3.0,46.0,-148.0,124.0,27.0,20.0,7.0,47.0
2024_01_GB_PHI,2024,1,2024-09-06,PHI,GB,2.0,49.5,-130.0,110.0,34.0,29.0,5.0,63.0
2024_01_PIT_ATL,2024,1,2024-09-08,ATL,PIT,4.0,43.0,-192.0,160.0,10.0,18.0,-8.0,28.0
2024_01_ARI_BUF,2024,1,2024-09-08,BUF,ARI,6.5,46.0,-310.0,250.0,34.0,28.0,6.0,62.0
2024_01_TEN_CHI,2024,1,2024-09-08,CHI,TEN,4.0,43.0,-198.0,164.0,24.0,17.0,7.0,41.0
2024_01_NE_CIN,2024,1,2024-09-08,CIN,NE,8.0,40.5,-375.0,295.0,10.0,16.0,-6.0,26.0
2024_01_HOU_IND,2024,1,2024-09-08,IND,HOU,-3.0,49.0,130.0,-155.0,27.0,29.0,-2.0,56.0
2024_01_JAX_MIA,2024,1,2024-09-08,MIA,JAX,3.5,49.5,-180.0,150.0,20.0,17.0,3.0,37.0
2024_01_CAR_NO,2024,1,2024-09-08,NO,CAR,3.5,41.5,-192.0,160.0,47.0,10.0,37.0,57.0
2024_01_MIN_NYG,2024,1,2024-09-08,NYG,MIN,-1.0,42.5,-105.0,-115.0,6.0,28.0,-22.0,34.0
2024_01_LV_LAC,2024,1,2024-09-08,LAC,LV,3.0,41.0,-155.0,130.0,22.0,10.0,12.0,32.0
2024_01_DEN_SEA,2024,1,2024-09-08,SEA,DEN,6.5,42.0,-278.0,225.0,26.0,20.0,6.0,46.0
2024_01_DAL_CLE,2024,1,2024-09-08,CLE,DAL,2.5,42.0,-130.0,110.0,17.0,33.0,-16.0,50.0
2024_01_WAS_TB,2024,1,2024-09-08,TB,WAS,4.0,42.0,-198.0,164.0,37.0,20.0,17.0,57.0
2024_01_LA_DET,2024,1,2024-09-08,DET,LA,5.0,54.0,-225.0,185.0,26.0,20.0,6.0,46.0
2024_01_NYJ_SF,2024,1,2024-09-09,SF,NYJ,3.5,43.0,-180.0,150.0,32.0,19.0,13.0,51.0
2024_02_BUF_MIA,2024,2,2024-09-12,MIA,BUF,2.5,48.5,-135.0,114.0,10.0,31.0,-21.0,41.0
2024_02_LV_BAL,2024,2,2024-09-15,BAL,LV,9.0,41.0,-455.0,350.0,23.0,26.0,-3.0,49.0
2024_02_LAC_CAR,2024,2,2024-09-15,CAR,LAC,-5.0,39.0,185.0,-225.0,3.0,26.0,-23.0,29.0
2024_02_NO_DAL,2024,2,2024-09-15,DAL,NO,6.5,47.0,-290.0,235.0,19.0,44.0,-25.0,63.0
2024_02_TB_DET,2024,2,2024-09-15,DET,TB,7.5,51.5,-375.0,295.0,16.0,20.0,-4.0,36.0
2024_02_IND_GB,2024,2,2024-09-15,GB,IND,-3.0,41.5,120.0,-142.0,16.0,10.0,6.0,26.0
2024_02_CLE_JAX,2024,2,2024-09-15,JAX,CLE,3.0,41.5,-170.0,142.0,13.0,18.0,-5.0,31.0
2024_02_SF_MIN,2024,2,2024-09-15,MIN,SF,-4.5,46.5,180.0,-218.0,23.0,17.0,6.0,40.0
2024_02_SEA_NE,2024,2,2024-09-15,NE,SEA,-3.5,39.0,142.0,-170.0,20.0,23.0,-3.0,43.0
2024_02_NYJ_TEN,2024,2,2024-09-15,TEN,NYJ,-3.5,41.5,150.0,-180.0,17.0,24.0,-7.0,41.0
2024_02_NYG_WAS,2024,2,2024-09-15,WAS,NYG,1.5,42.5,-125.0,105.0,21.0,18.0,3.0,39.0
2024_02_LA_ARI,2024,2,2024-09-15,ARI,LA,-1.0,47.5,-108.0,-112.0,41.0,10.0,31.0,51.0
2024_02_PIT_DEN,2024,2,2024-09-15,DEN,PIT,-3.0,36.5,130.0,-155.0,6.0,13.0,-7.0,19.0
2024_02_CIN_KC,2024,2,2024-09-15,KC,CIN,6.5,47.5,-290.0,235.0,26.0,25.0,1.0,51.0
2024_02_CHI_HOU,2024,2,2024-09-15,HOU,CHI,6.0,45.5,-258.0,210.0,19.0,13.0,6.0,32.0
2024_02_ATL_PHI,2024,2,2024-09-16,PHI,ATL,5.5,46.5,-265.0,215.0,21.0,22.0,-1.0,43.0
2024_03_NE_NYJ,2024,3,2024-09-19,NYJ,NE,6.5,39.0,-285.0,230.0,24.0,3.0,21.0,27.0
2024_03_NYG_CLE,2024,3,2024-09-22,CLE,NYG,6.5,38.0,-270.0,220.0,15.0,21.0,-6.0,36.0
2024_03_CHI_IND,2024,3,2024-09-22,IND,CHI,1.5,43.0,-125.0,105.0,21.0,16.0,5.0,37.0
2024_03_HOU_MIN,2024,3,2024-09-22,MIN,HOU,-2.0,46.0,114.0,-135.0,34.0,7.0,27.0,41.0
2024_03_PHI_NO,2024,3,2024-09-22,NO,PHI,2.5,49.0,-142.0,120.0,12.0,15.0,-3.0,27.0
2024_03_LAC_PIT,2024,3,2024-09-22,PIT,LAC,3.0,36.0,-148.0,124.0,20.0,10.0,10.0,30.0
2024_03_DEN_TB,2024,3,2024-09-22,TB,DEN,6.0,40.5,-245.0,200.0,7.0,26.0,-19.0,33.0
2024_03_GB_TEN,2024,3,2024-09-22,TEN,GB,3.0,37.0,-162.0,136.0,14.0,30.0,-16.0,44.0
2024_03_CAR_LV,2024,3,2024-09-22,LV,CAR,5.5,40.0,-245.0,200.0,22.0,36.0,-14.0,58.0
2024_03_MIA_SEA,2024,3,2024-09-22,SEA,MIA,4.0,41.5,-205.0,170.0,24.0,3.0,21.0,27.0
2024_03_DET_ARI,2024,3,2024-09-22,ARI,DET,-3.0,51.5,124.0,-148.0,13.0,20.0,-7.0,33.0
2024_03_BAL_DAL,2024,3,2024-09-22,DAL,BAL,-1.5,47.5,100.0,-120.0,25.0,28.0,-3.0,53.0
2024_03_SF_LA,2024,3,2024-09-22,LA,SF,-6.0,44.5,210.0,-258.0,27.0,24.0,3.0,51.0
2024_03_KC_ATL,2024,3,2024-09-22,ATL,KC,-3.0,46.0,142.0,-170.0,17.0,22.0,-5.0,39.0
2024_03_JAX_BUF,2024,3,2024-09-23,BUF,JAX,4.0,46.5,-218.0,180.0,47.0,10.0,37.0,57.0
2024_03_WAS_CIN,2024,3,2024-09-23,CIN,WAS,7.5,46.0,-355.0,280.0,33.0,38.0,-5.0,71.0
2024_04_DAL_NYG,2024,4,2024-09-26,NYG,DAL,-5.5,45.0,205.0,-250.0,15.0,20.0,-5.0,35.0
2024_04_NO_ATL,2024,4,2024-09-29,ATL,NO,2.5,41.5,-142.0,120.0,26.0,24.0,2.0,50.0
2024_04_CIN_CAR,2024,4,2024-09-29,CAR,CIN,-4.5,47.0,170.0,-205.0,24.0,34.0,-10.0,58.0
2024_04_LA_CHI,2024,4,2024-09-29,CHI,LA,3.0,40.0,-162.0,136.0,24.0,18.0,6.0,42.0
2024_04_MIN_GB,2024,4,2024-09-29,GB,MIN,2.5,44.0,-135.0,114.0,29.0,31.0,-2.0,60.0
2024_04_JAX_HOU,2024,4,2024-09-29,HOU,JAX,5.5,44.5,-238.0,195.0,24.0,20.0,4.0,44.0
2024_04_PIT_IND,2024,4,2024-09-29,IND,PIT,-2.5,40.0,110.0,-130.0,27.0,24.0,3.0,51.0
2024_04_DEN_NYJ,2024,4,2024-09-29,NYJ,DEN,7.5,39.5,-425.0,330.0,9.0,10.0,-1.0,19.0
2024_04_PHI_TB,2024,4,2024-09-29,TB,PHI,-1.0,42.0,-105.0,-115.0,33.0,16.0,17.0,49.0
2024_04_WAS_ARI,2024,4,2024-09-29,ARI,WAS,3.5,49.0,-180.0,150.0,14.0,42.0,-28.0,56.0
2024_04_NE_SF,2024,4,2024-09-29,SF,NE,10.5,41.5,-550.0,410.0,30.0,13.0,17.0,43.0
2024_04_KC_LAC,2024,4,2024-09-29,LAC,KC,-7.5,41.5,275.0,-345.0,10.0,17.0,-7.0,27.0
2024_04_CLE_LV,2024,4,2024-09-29,LV,CLE,-2.5,36.5,114.0,-135.0,20.0,16.0,4.0,36.0
2024_04_BUF_BAL,2024,4,2024-09-29,BAL,BUF,2.5,46.5,-135.0,114.0,35.0,10.0,25.0,45.0
2024_04_TEN_MIA,2024,4,2024-09-30,MIA,TEN,2.5,37.0,-135.0,114.0,12.0,31.0,-19.0,43.0
2024_04_SEA_DET,2024,4,2024-09-30,DET,SEA,3.5,46.5,-185.0,154.0,42.0,29.0,13.0,71.0
2024_05_TB_ATL,2024,5,2024-10-03,ATL,TB,2.5,44.0,-142.0,120.0,36.0,30.0,6.0,66.0
2024_05_NYJ_MIN,2024,5,2024-10-06,MIN,NYJ,2.5,42.0,-142.0,120.0,23.0,17.0,6.0,40.0
2024_05_CAR_CHI,2024,5,2024-10-06,CHI,CAR,4.0,40.0,-198.0,164.0,36.0,10.0,26.0,46.0
2024_05_BAL_CIN,2024,5,2024-10-06,CIN,BAL,-2.5,48.5,124.0,-148.0,38.0,41.0,-3.0,79.0
2024_05_BUF_HOU,2024,5,2024-10-06,HOU,BUF,1.0,48.0,-118.0,-102.0,23.0,20.0,3.0,43.0
2024_05_IND_JAX,2024,5,2024-10-06,JAX,IND,3.5,45.0,-185.0,154.0,37.0,34.0,3.0,71.0
2024_05_MIA_NE,2024,5,2024-10-06,NE,MIA,-2.0,37.0,110.0,-130.0,10.0,15.0,-5.0,25.0
2024_05_CLE_WAS,2024,5,2024-10-06,WAS,CLE,3.0,44.0,-155.0,130.0,34.0,13.0,21.0,47.0
2024_05_LV_DEN,2024,5,2024-10-06,DEN,LV,3.0,36.0,-155.0,130.0,34.0,18.0,16.0,52.0
2024_05_ARI_SF,2024,5,2024-10-06,SF,ARI,7.0,48.5,-325.0,260.0,23.0,24.0,-1.0,47.0
2024_05_GB_LA,2024,5,2024-10-06,LA,GB,-3.0,49.5,130.0,-155.0,19.0,24.0,-5.0,43.0
2024_05_NYG_SEA,2024,5,2024-10-06,SEA,NYG,7.0,42.5,-310.0,250.0,20.0,29.0,-9.0,49.0
2024_05_DAL_PIT,2024,5,2024-10-06,PIT,DAL,2.5,43.5,-135.0,114.0,17.0,20.0,-3.0,37.0
2024_05_NO_KC,2024,5,2024-10-07,KC,NO,5.5,43.0,-230.0,190.0,26.0,13.0,13.0,39.0
2024_06_SF_SEA,2024,6,2024-10-10,SEA,SF,-3.5,49.0,164.0,-198.0,24.0,36.0,-12.0,60.0
2024_06_JAX_CHI,2024,6,2024-10-13,CHI,JAX,-1.5,44.5,100.0,-120.0,35.0,16.0,19.0,51.0
2024_06_WAS_BAL,2024,6,2024-10-13,BAL,WAS,6.5,51.5,-285.0,230.0,30.0,23.0,7.0,53.0
2024_06_ARI_GB,2024,6,2024-10-13,GB,ARI,5.5,47.0,-238.0,195.0,34.0,13.0,21.0,47.0
2024_06_HOU_NE,2024,6,2024-10-13,NE,HOU,-6.5,38.5,215.0,-265.0,21.0,41.0,-20.0,62.0
2024_06_TB_NO,2024,6,2024-10-13,NO,TB,-3.5,42.5,145.0,-175.0,27.0,51.0,-24.0,78.0
2024_06_CLE_PHI,2024,6,2024-10-13,PHI,CLE,8.0,42.0,-425.0,330.0,20.0,16.0,4.0,36.0
2024_06_IND_TEN,2024,6,2024-10-13,TEN,IND,2.5,42.0,-135.0,114.0,17.0,20.0,-3.0,37.0
2024_06_LAC_DEN,2024,6,2024-10-13,DEN,LAC,-3.0,37.0,130.0,-155.0,16.0,23.0,-7.0,39.0
2024_06_PIT_LV,2024,6,2024-10-13,LV,PIT,-3.5,36.5,150.0,-180.0,13.0,32.0,-19.0,45.0
2024_06_ATL_CAR,2024,6,2024-10-13,CAR,ATL,-6.0,45.5,210.0,-258.0,20.0,38.0,-18.0,58.0
2024_06_DET_DAL,2024,6,2024-10-13,DAL,DET,-3.5,52.5,150.0,-180.0,9.0,47.0,-38.0,56.0
2024_06_CIN_NYG,2024,6,2024-10-13,NYG,CIN,-4.5,46.0,190.0,-230.0,7.0,17.0,-10.0,24.0
2024_06_BUF_NYJ,2024,6,2024-10-14,NYJ,BUF,-1.0,42.0,102.0,-122.0,20.0,23.0,-3.0,43.0
2024_07_DEN_NO,2024,7,2024-10-17,NO,DEN,-2.5,37.0,124.0,-148.0,10.0,33.0,-23.0,43.0
2024_07_NE_JAX,2024,7,2024-10-20,JAX,NE,6.5,42.0,-298.0,240.0,32.0,16.0,16.0,48.0
2024_07_SEA_ATL,2024,7,2024-10-20,ATL,SEA,3.0,51.5,-162.0,136.0,14.0,34.0,-20.0,48.0
2024_07_TEN_BUF,2024,7,2024-10-20,BUF,TEN,9.5,41.0,-535.0,400.0,34.0,10.0,24.0,44.0
2024_07_CIN_CLE,2024,7,2024-10-20,CLE,CIN,-5.5,42.0,190.0,-230.0,14.0,21.0,-7.0,35.0
2024_07_HOU_GB,2024,7,2024-10-20,GB,HOU,3.0,48.0,-170.0,142.0,24.0,22.0,2.0,46.0
2024_07_MIA_IND,2024,7,2024-10-20,IND,MIA,3.0,44.0,-155.0,130.0,16.0,10.0,6.0,26.0
2024_07_DET_MIN,2024,7,2024-10-20,MIN,DET,1.0,50.5,-118.0,-102.0,29.0,31.0,-2.0,60.0
2024_07_PHI_NYG,2024,7,2024-10-20,NYG,PHI,-3.0,42.0,140.0,-166.0,3.0,28.0,-25.0,31.0
2024_07_LV_LA,2024,7,2024-10-20,LA,LV,7.0,43.0,-355.0,280.0,20.0,15.0,5.0,35.0
2024_07_CAR_WAS,2024,7,2024-10-20,WAS,CAR,10.0,51.0,-535.0,400.0,40.0,7.0,33.0,47.0
2024_07_KC_SF,2024,7,2024-10-20,SF,KC,2.5,47.5,-142.0,120.0,18.0,28.0,-10.0,46.0
2024_07_NYJ_PIT,2024,7,2024-10-20,PIT,NYJ,-3.0,40.0,140.0,-166.0,37.0,15.0,22.0,52.0
2024_07_BAL_TB,2024,7,2024-10-21,TB,BAL,-4.5,51.0,185.0,-225.0,31.0,41.0,-10.0,72.0
2024_07_LAC_ARI,2024,7,2024-10-21,ARI,LAC,-1.0,44.0,102.0,-122.0,17.0,15.0,2.0,32.0
2024_08_MIN_LA,2024,8,2024-10-24,LA,MIN,-3.0,47.5,130.0,-155.0,30.0,20.0,10.0,50.0
2024_08_PHI_CIN,2024,8,2024-10-27,CIN,PHI,2.5,47.5,-148.0,124.0,17.0,37.0,-20.0,54.0
2024_08_BAL_CLE,2024,8,2024-10-27,CLE,BAL,-7.5,44.5,300.0,-380.0,29.0,24.0,5.0,53.0
2024_08_TEN_DET,2024,8,2024-10-27,DET,TEN,12.5,45.0,-800.0,550.0,52.0,14.0,38.0,66.0
2024_08_IND_HOU,2024,8,2024-10-27,HOU,IND,5.0,45.0,-225.0,185.0,23.0,20.0,3.0,43.0
2024_08_GB_JAX,2024,8,2024-10-27,JAX,GB,-3.5,49.0,160.0,-192.0,27.0,30.0,-3.0,57.0
2024_08_ARI_MIA,2024,8,2024-10-27,MIA,ARI,4.0,46.5,-198.0,164.0,27.0,28.0,-1.0,55.0
2024_08_NYJ_NE,2024,8,2024-10-27,NE,NYJ,-7.0,41.0,245.0,-305.0,25.0,22.0,3.0,47.0
2024_08_ATL_TB,2024,8,2024-10-27,TB,ATL,-1.5,47.0,102.0,-122.0,26.0,31.0,-5.0,57.0
2024_08_NO_LAC,2024,8,2024-10-27,LAC,NO,7.0,41.5,-310.0,250.0,26.0,8.0,18.0,34.0
2024_08_BUF_SEA,2024,8,2024-10-27,SEA,BUF,-3.0,45.5,142.0,-170.0,10.0,31.0,-21.0,41.0
2024_08_CAR_DEN,2024,8,2024-10-27,DEN,CAR,13.0,40.5,-750.0,525.0,28.0,14.0,14.0,42.0
2024_08_KC_LV,2024,8,2024-10-27,LV,KC,-9.0,42.0,340.0,-440.0,20.0,27.0,-7.0,47.0
2024_08_CHI_WAS,2024,8,2024-10-27,WAS,CHI,1.5,46.5,-122.0,102.0,18.0,15.0,3.0,33.0
2024_08_DAL_SF,2024,8,2024-10-27,SF,DAL,5.5,48.0,-238.0,195.0,30.0,24.0,6.0,54.0
2024_08_NYG_PIT,2024,8,2024-10-28,PIT,NYG,6.0,37.5,-270.0,220.0,26.0,18.0,8.0,44.0
2024_09_HOU_NYJ,2024,9,2024-10-31,NYJ,HOU,2.5,43.5,-148.0,124.0,21.0,13.0,8.0,34.0
2024_09_DAL_ATL,2024,9,2024-11-03,ATL,DAL,3.0,52.0,-166.0,140.0,27.0,21.0,6.0,48.0
2024_09_DEN_BAL,2024,9,2024-11-03,BAL,DEN,9.0,46.5,-440.0,330.0,41.0,10.0,31.0,51.0
2024_09_MIA_BUF,2024,9,2024-11-03,BUF,MIA,6.5,49.0,-285.0,230.0,30.0,27.0,3.0,57.0
2024_09_NO_CAR,2024,9,2024-11-03,CAR,NO,-7.0,43.5,275.0,-345.0,23.0,22.0,1.0,45.0
2024_09_LV_CIN,2024,9,2024-11-03,CIN,LV,8.0,45.0,-410.0,320.0,41.0,24.0,17.0,65.0
2024_09_LAC_CLE,2024,9,2024-11-03,CLE,LAC,-2.0,42.5,110.0,-130.0,10.0,27.0,-17.0,37.0
2024_09_WAS_NYG,2024,9,2024-11-03,NYG,WAS,-4.5,44.5,180.0,-218.0,22.0,27.0,-5.0,49.0
2024_09_NE_TEN,2024,9,2024-11-03,TEN,NE,3.0,38.5,-162.0,136.0,20.0,17.0,3.0,37.0
2024_09_CHI_ARI,2024,9,2024-11-03,ARI,CHI,1.5,44.5,-120.0,100.0,29.0,9.0,20.0,38.0
2024_09_JAX_PHI,2024,9,2024-11-03,PHI,JAX,7.5,46.0,-340.0,270.0,28.0,23.0,5.0,51.0
2024_09_DET_GB,2024,9,2024-11-03,GB,DET,-2.5,47.5,130.0,-155.0,14.0,24.0,-10.0,38.0
2024_09_LA_SEA,2024,9,2024-11-03,SEA,LA,-1.5,48.5,105.0,-125.0,20.0,26.0,-6.0,46.0
2024_09_IND_MIN,2024,9,2024-11-03,MIN,IND,6.5,47.0,-298.0,240.0,21.0,13.0,8.0,34.0
2024_09_TB_KC,2024,9,2024-11-04,KC,TB,9.0,45.5,-425.0,330.0,30.0,24.0,6.0,54.0
2024_10_CIN_BAL,2024,10,2024-11-07,BAL,CIN,6.0,53.0,-270.0,220.0,35.0,34.0,1.0,69.0
2024_10_NYG_CAR,2024,10,2024-11-10,CAR,NYG,-6.5,40.5,240.0,-298.0,20.0,17.0,3.0,37.0
2024_10_NE_CHI,2024,10,2024-11-10,CHI,NE,6.5,37.5,-325.0,260.0,3.0,19.0,-16.0,22.0
2024_10_BUF_IND,2024,10,2024-11-10,IND,BUF,-4.5,46.5,190.0,-230.0,20.0,30.0,-10.0,50.0
